zoneId;numberofparkingplaces
110;724
111;96
112;103
113;26
114;324
115;175
116;65
117;607
118;371
119;199
120;32
121;357
122;52
123;57
124;23
125;487
126;258
127;54
128;114
210;63
211;595
212;433
213;9
214;260
215;117
216;72
217;269
218;350
219;994
220;673
221;247
222;271
223;706
224;152
225;157
226;114
231;126
232;97
233;160
234;366
235;207
236;196
237;538
311;83
312;54
313;644
314;122
315;105
316;1044
317;171
318;318
319;421
321;419
322;104
323;163
324;69
325;296
326;191
327;582
328;232
329;74
331;70
332;16
333;50
334;74
335;44
336;82
337;224
338;140
341;93
342;66
411;359
412;281
413;22
414;233
415;1263
416;372
417;285
418;113
419;187
421;291
422;336
423;229
424;214
425;315
426;493
427;345
428;433
431;160
432;384
433;118
434;262
435;154
436;41
437;763
438;244
441;294
442;174
443;41
444;1204
451;911
452;95
511;444
512;292
513;167
514;263
515;222
516;182
517;521
521;235
522;437
523;409
524;261
525;333
526;244
527;525
528;206
529;363
531;354
532;244
533;348
535;416
536;222
541;179
542;582
611;300
612;263
613;239
617;0
621;294
622;355
623;415
624;218
625;234
631;515
632;169
633;408
641;373
642;374
643;446
644;753
711;263
712;307
713;132
714;187
715;192
716;299
717;136
718;667
719;127
721;691
722;449
723;172
724;1623
725;146
726;381
727;203
728;39
729;486
731;636
732;378
733;295
734;375
735;1152
736;862
737;122
738;1281
740;243
811;229
812;199
813;217
814;95
815;113
816;226
817;232
818;157
819;620
821;610
822;261
823;475
824;507
831;539
832;236
833;361
834;298
835;295
836;254
837;113
838;101
839;289
841;287
842;105
911;495
912;282
913;408
914;245
915;1196
916;533
917;570
918;206
921;110
922;282
923;230
924;360
925;432
931;125
932;134
933;279
934;104
941;277
942;686
943;92
944;67
945;472
1011;108
1012;532
1013;333
1014;468
1015;274
1016;49
1021;452
1022;510
1023;204
1024;454
1025;945
1026;147
1027;186
1028;603
1029;1810
1031;717
1032;373
1033;399
1034;551
1035;1017
1036;258
1037;0
1038;133
1039;7
1041;2084
1111;1061
1112;423
1113;603
1114;215
1115;250
1116;151
1117;214
1118;575
1121;295
1122;33
1123;691
1131;86
1132;126
1133;411
1134;562
1135;680
1141;784
1142;319
1143;329
1144;321
1151;617
1152;423
1153;310
1154;595
1155;76
1211;280
1212;269
1213;598
1214;473
1215;324
1216;268
1221;17
1222;224
1223;195
1224;160
1311;316
1312;154
1313;355
1314;316
1321;138
1322;393
1323;521
1324;360
1325;858
1326;1033
1327;1115
1328;437
1411;432
1412;470
1413;276
1414;57
1415;145
1421;421
1422;547
1423;213
1424;419
1425;67
1511;605
1513;669
1514;570
1515;420
1521;405
1522;50
1523;557
1531;284
1532;401
1533;283
1534;263
1541;295
1542;572
1543;300
1544;419
1545;47
1546;150
1611;264
1612;29
1613;20
1614;0
1615;74
1616;6
1617;177
1618;6
1619;137
1621;196
1622;334
1623;506
1624;606
1631;117
1632;164
1633;47
1634;80
1635;167
1636;83
1637;35
1691;397
1711;629
1712;392
1713;440
1714;623
1715;780
1716;231
1717;986
1718;197
1721;177
1722;348
1723;100
1811;279
1812;246
1813;102
1814;217
1815;300
1816;275
1817;673
1818;492
1819;1176
1821;78
1822;281
1823;246
1824;365
1825;115
1826;652
1827;440
1910;54
1911;353
1912;302
1913;653
1914;127
1915;239
1916;85
1917;1593
1918;932
1919;324
1921;385
1922;334
1923;265
1930;603
1931;507
1932;690
1933;608
1934;324
1935;417
1936;154
1937;282
1938;189
1939;228
1941;778
1951;296
1952;527
1953;516
1954;224
1955;378
1956;411
1961;282
1962;226
1963;74
1964;249
1971;1643
1972;1066
1973;415
1974;198
1975;8
1976;498
1981;1917
1982;29
1983;611
1984;246
1985;286
1986;249
1987;317
1988;20
2010;176
2011;581
2012;826
2013;530
2014;306
2015;217
2016;218
2017;291
2018;535
2019;621
2021;183
2022;274
2023;363
2024;594
2025;677
2026;419
2111;260
2112;185
2113;417
2114;452
2115;499
2116;210
2211;531
2212;580
2213;568
2214;393
2311;278
2312;411
2313;375
2314;290
2315;231
2316;153
2317;266
2411;375
2412;803
